New user registered: rohan
rohan completed an order with a total price of $5.48
rohan has successfully logged in.
rohan completed an order with a total price of $868.97
New user registered: zoe
zoe has successfully logged in.
New user registered: zoey
zoey has logged out without completing the purchase.
zoey has successfully logged in.
zoey has successfully logged in.
zoey has successfully logged in.
zoey has successfully logged in.
zoey has logged out without completing the purchase.
zoey has successfully logged in.
zoey has logged out without completing the purchase.
zoey has successfully logged in.
zoey has successfully logged in.
zoey has successfully logged in.
zoey has successfully logged in.
zoey has successfully logged in.
zoey has successfully logged in.
zoey has logged out without completing the purchase.
